date,code,open,high,low,close,preclose,volume,amount,pctChg
2017-01-03,sh.000037,5953.5280,5991.2190,5940.8550,5991.2190,5954.0900,231164100,4333871616.0000,0.623600
2017-01-04,sh.000037,5985.1330,6018.3590,5972.5910,6013.2050,5991.2190,223944100,4450815488.0000,0.367000
2017-01-05,sh.000037,6011.9300,6016.5060,5996.3960,6000.7450,6013.2050,179338000,3381949232.0000,-0.207200
2017-01-06,sh.000037,5998.1750,6000.6980,5942.9390,5949.9300,6000.7450,201308700,4031040592.0000,-0.846800
2017-01-09,sh.000037,5951.5770,5965.7330,5936.6400,5957.5670,5949.9300,211157100,4037865072.0000,0.128300
2017-01-10,sh.000037,5958.6920,5972.7560,5945.0640,5953.1270,5957.5670,205111300,3775729904.0000,-0.074500
2017-01-11,sh.000037,5945.8170,5970.7880,5918.7000,5920.9700,5953.1270,208428100,3491384560.0000,-0.540200
2017-01-12,sh.000037,5917.7860,5927.2370,5865.2480,5871.2950,5920.9700,201432100,3428189264.0000,-0.839000
2017-01-13,sh.000037,5867.5520,5874.3730,5838.3500,5867.9160,5871.2950,202908400,3606490560.0000,-0.057500
2017-01-16,sh.000037,5850.8420,5858.9090,5770.0090,5855.1410,5867.9160,420470608,7317119744.0000,-0.217700
2017-01-17,sh.000037,5834.2600,5862.8480,5803.1870,5858.6050,5855.1410,190955000,3323824064.0000,0.059200
2017-01-18,sh.000037,5856.6700,5881.6110,5849.5970,5870.3050,5858.6050,159630600,2961914128.0000,0.199700
2017-01-19,sh.000037,5866.3650,5885.9600,5855.7310,5870.5940,5870.3050,144300700,2534080160.0000,0.004900
2017-01-20,sh.000037,5868.4030,5925.7590,5865.0870,5918.1020,5870.5940,191530900,3273911184.0000,0.809300
2017-01-23,sh.000037,5920.6050,5952.5830,5920.3690,5941.0940,5918.1020,171027500,3014213824.0000,0.388500
2017-01-24,sh.000037,5937.8980,5938.6660,5910.3920,5916.2710,5941.0940,162712900,2751430720.0000,-0.417800
2017-01-25,sh.000037,5915.1580,5970.5280,5909.8880,5966.9000,5916.2710,162326500,2948313792.0000,0.855800
2017-01-26,sh.000037,5970.0420,5995.0970,5970.0420,5987.8200,5966.9000,155413100,2881222272.0000,0.350600
2017-02-03,sh.000037,5990.7990,5995.3680,5955.3080,5986.6800,5987.8200,123549800,2283083168.0000,-0.019000
2017-02-06,sh.000037,5982.1420,6015.6860,5980.0100,5997.2520,5986.6800,185204800,3645238832.0000,0.176600
2017-02-07,sh.000037,5994.8680,5994.8680,5963.5960,5986.7500,5997.2520,154362600,2954587056.0000,-0.175100
2017-02-08,sh.000037,5987.6550,6000.3190,5957.7850,5996.0640,5986.7500,158976200,2936094864.0000,0.155600
2017-02-09,sh.000037,5999.8280,6010.3110,5970.4640,5988.0370,5996.0640,224520700,4169485056.0000,-0.133900
2017-02-10,sh.000037,5988.5030,5996.0570,5968.1720,5975.7460,5988.0370,230372100,4072885296.0000,-0.205300
2017-02-13,sh.000037,5976.4910,5997.5080,5960.2730,5996.1160,5975.7460,276065504,4813896448.0000,0.340900
2017-02-14,sh.000037,5995.6110,5996.4040,5974.2930,5992.5670,5996.1160,219101500,4044573728.0000,-0.059200
2017-02-15,sh.000037,5992.0350,5997.7220,5928.2410,5934.1290,5992.5670,271462096,4474290432.0000,-0.975200
2017-02-16,sh.000037,5927.8670,5963.2970,5924.9640,5962.0830,5934.1290,197018000,3435632816.0000,0.471100
2017-02-17,sh.000037,5965.2320,5966.9080,5910.9490,5913.3380,5962.0830,235828500,3722202736.0000,-0.817600
2017-02-20,sh.000037,5913.3290,5980.3650,5913.3290,5979.0500,5913.3380,264337100,4954963712.0000,1.111200
2017-02-21,sh.000037,5983.6540,6021.6960,5983.5910,6020.1600,5979.0500,273005808,5029456896.0000,0.687600
2017-02-22,sh.000037,6025.5890,6043.0520,6012.6130,6042.5130,6020.1600,262955200,5031944448.0000,0.371300
2017-02-23,sh.000037,6037.3930,6135.9120,6027.6100,6124.1780,6042.5130,511853696,9359645184.0000,1.351500
2017-02-24,sh.000037,6137.3410,6163.3650,6121.9010,6143.3840,6124.1780,408750000,7790491648.0000,0.313600
2017-02-27,sh.000037,6144.9110,6149.7990,6104.5710,6117.1440,6143.3840,408536400,6904401408.0000,-0.427100
2017-02-28,sh.000037,6109.6650,6123.1180,6083.8870,6107.3220,6117.1440,261824900,4737562112.0000,-0.160600
2017-03-01,sh.000037,6104.8000,6135.5140,6089.8550,6094.1340,6107.3220,333378000,6202612992.0000,-0.215900
2017-03-02,sh.000037,6096.6870,6104.5840,6064.5650,6067.3010,6094.1340,263306100,4733995008.0000,-0.440300
2017-03-03,sh.000037,6060.6220,6076.8980,6048.3580,6076.6810,6067.3010,219347200,4035452016.0000,0.154600
2017-03-06,sh.000037,6076.7060,6103.8550,6069.7620,6100.1710,6076.6810,244904900,4493420800.0000,0.386600
2017-03-07,sh.000037,6102.1640,6137.5750,6095.2400,6136.3860,6100.1710,258899600,4916582656.0000,0.593700
2017-03-08,sh.000037,6127.6960,6140.0120,6113.9600,6124.5560,6136.3860,218431100,4076816816.0000,-0.192800
2017-03-09,sh.000037,6126.1780,6126.3230,6069.7320,6072.3600,6124.5560,234034700,4240757072.0000,-0.852200
2017-03-10,sh.000037,6071.8060,6107.5310,6071.4820,6099.0800,6072.3610,207397600,4434688256.0000,0.440000
2017-03-13,sh.000037,6088.2610,6135.1540,6067.5450,6133.8330,6099.0800,262811000,5760378880.0000,0.569800
2017-03-14,sh.000037,6136.9900,6151.9460,6117.6000,6150.8110,6133.8330,232404500,4740656640.0000,0.276800
2017-03-15,sh.000037,6144.2870,6179.7950,6129.0490,6176.3840,6150.8110,207645600,4134300224.0000,0.415800
2017-03-16,sh.000037,6177.5650,6202.1040,6164.0450,6179.2380,6176.3840,279829104,5235630080.0000,0.046200
2017-03-17,sh.000037,6183.0060,6190.0980,6136.7340,6150.1030,6179.2380,289832704,5440767232.0000,-0.471500
2017-03-20,sh.000037,6140.7960,6183.6210,6136.6580,6182.1850,6150.1030,268216000,5348521472.0000,0.521700
2017-03-21,sh.000037,6178.2760,6259.8310,6170.6070,6259.0120,6182.1850,336798096,7357665792.0000,1.242700
2017-03-22,sh.000037,6236.1160,6333.5800,6228.2000,6327.2080,6259.0120,463952800,9250950656.0000,1.089600
2017-03-23,sh.000037,6333.7420,6382.3110,6290.0560,6340.3770,6327.2080,412902000,8204375552.0000,0.208100
2017-03-24,sh.000037,6349.0350,6352.3850,6326.2720,6335.2240,6340.3770,333946208,6183029504.0000,-0.081300
2017-03-27,sh.000037,6342.5330,6351.1320,6285.3710,6303.8530,6335.2250,354412800,7263006208.0000,-0.495200
2017-03-28,sh.000037,6297.2710,6305.5470,6256.6200,6285.8060,6303.8530,275646208,5337598464.0000,-0.286300
2017-03-29,sh.000037,6282.6550,6292.6670,6230.6590,6253.8270,6285.8060,344675008,6520300544.0000,-0.508700
2017-03-30,sh.000037,6242.9520,6243.6500,6141.9170,6187.2150,6253.8270,341171696,6230890496.0000,-1.065100
2017-03-31,sh.000037,6174.3980,6236.7250,6174.3980,6235.1410,6187.2150,262902500,4969966080.0000,0.774600
2017-04-05,sh.000037,6232.7250,6304.5480,6231.3530,6278.7490,6235.1410,438987296,8009063936.0000,0.699400
2017-04-06,sh.000037,6278.7230,6290.5610,6264.7170,6287.8380,6278.7490,318643600,5799619840.0000,0.144800
2017-04-07,sh.000037,6282.2420,6289.4410,6267.5010,6284.9100,6287.8380,271005104,4923357696.0000,-0.046600
2017-04-10,sh.000037,6288.1040,6290.9980,6217.3560,6228.3420,6284.9100,317842304,5903711488.0000,-0.900100
2017-04-11,sh.000037,6220.9910,6237.4050,6150.8840,6214.3740,6228.3420,369477600,6575628544.0000,-0.224300
2017-04-12,sh.000037,6204.7630,6229.7530,6180.5690,6224.9330,6214.3740,267097600,4674221568.0000,0.169900
2017-04-13,sh.000037,6208.4260,6269.8690,6188.5530,6267.3330,6224.9330,302960096,4918955008.0000,0.681100
2017-04-14,sh.000037,6269.7650,6273.0550,6215.5700,6231.7240,6267.3330,337523200,4673605632.0000,-0.568200
2017-04-17,sh.000037,6210.9700,6226.0640,6179.1310,6221.1110,6231.7240,328017104,5082855680.0000,-0.170300
2017-04-18,sh.000037,6211.6540,6287.7790,6211.4240,6254.7240,6221.1110,352217904,6404286208.0000,0.540300
2017-04-19,sh.000037,6238.5260,6256.0800,6185.3660,6249.4910,6254.7240,312542608,5930303232.0000,-0.083700
2017-04-20,sh.000037,6252.9920,6383.8670,6249.8450,6378.8980,6249.4910,429313200,9073459968.0000,2.070700
2017-04-21,sh.000037,6370.0050,6396.5500,6324.8660,6376.4680,6378.8980,327210400,6722151424.0000,-0.038100
2017-04-24,sh.000037,6343.8010,6345.2510,6200.3110,6321.8200,6376.4680,341598704,6543362816.0000,-0.857000
2017-04-25,sh.000037,6293.0560,6321.0320,6271.6810,6282.2660,6321.8200,283221904,5642687232.0000,-0.625700
2017-04-26,sh.000037,6272.8380,6339.0050,6257.7190,6278.3380,6282.2660,326788208,6682896384.0000,-0.062500
2017-04-27,sh.000037,6267.5820,6272.4120,6199.8600,6267.7400,6278.3380,335823808,6586802944.0000,-0.168800
2017-04-28,sh.000037,6256.7590,6265.6090,6181.4060,6215.4050,6267.7400,268849600,5942341888.0000,-0.835000
2017-05-02,sh.000037,6202.1630,6205.2520,6169.9110,6195.5170,6215.4050,242602000,4700165376.0000,-0.320000
2017-05-03,sh.000037,6184.9520,6207.5060,6174.4130,6205.9250,6195.5170,239443800,4440154112.0000,0.168000
2017-05-04,sh.000037,6191.2010,6218.2410,6160.4090,6203.3280,6205.9250,273818608,4987359232.0000,-0.041800
2017-05-05,sh.000037,6188.3510,6198.5670,6159.7360,6175.5940,6203.3280,295962304,6086832640.0000,-0.447100
2017-05-08,sh.000037,6158.9350,6158.9350,6098.8620,6128.1050,6175.5940,285925104,5563232000.0000,-0.769000
2017-05-09,sh.000037,6109.3760,6110.2680,6000.1000,6067.6960,6128.1050,249453100,4954313984.0000,-0.985800
2017-05-10,sh.000037,6069.8160,6092.3450,6034.2220,6044.2140,6067.6960,260665900,4821688320.0000,-0.387000
2017-05-11,sh.000037,6032.8230,6055.3420,5974.8150,6050.6950,6044.2140,303189904,5313833472.0000,0.107200
2017-05-12,sh.000037,6039.2780,6096.1490,6029.2660,6094.4470,6050.6950,249925400,4236669296.0000,0.723100
2017-05-15,sh.000037,6097.8060,6163.1360,6094.0920,6161.4270,6094.4470,205616700,4241177504.0000,1.099000
2017-05-16,sh.000037,6146.7370,6280.6280,6138.7310,6278.2010,6161.4270,321083504,6003148800.0000,1.895200
2017-05-17,sh.000037,6266.3620,6290.1150,6220.9970,6231.1960,6278.2010,273260208,5278380032.0000,-0.748700
2017-05-18,sh.000037,6208.2440,6248.1620,6188.9000,6241.1590,6231.1960,204938200,3857184400.0000,0.159900
2017-05-19,sh.000037,6234.7000,6248.9100,6218.6050,6248.0990,6241.1590,163200500,3139744864.0000,0.111200
2017-05-22,sh.000037,6252.6810,6290.0520,6210.8950,6259.6690,6248.0990,257539500,4749943040.0000,0.185200
2017-05-23,sh.000037,6249.2490,6293.5800,6219.9670,6260.2070,6259.6690,307925296,6246830080.0000,0.008600
2017-05-24,sh.000037,6246.2270,6256.7230,6175.8090,6255.1830,6260.2070,259362000,5321445376.0000,-0.080300
2017-05-25,sh.000037,6237.5000,6266.1630,6202.4810,6242.6810,6255.1830,253123600,4795705088.0000,-0.199900
2017-05-26,sh.000037,6246.3580,6253.6970,6187.5280,6217.8340,6242.6810,256506700,4677816320.0000,-0.398000
2017-05-31,sh.000037,6237.5740,6261.8290,6192.3400,6237.7870,6217.8340,379483296,6994964736.0000,0.320900
2017-06-01,sh.000037,6230.4530,6273.5030,6202.3390,6256.6400,6237.7870,319869408,6319803392.0000,0.302200
2017-06-02,sh.000037,6239.8370,6247.7200,6175.3910,6234.0950,6256.6400,310568704,5485979904.0000,-0.360300
2017-06-05,sh.000037,6221.9870,6235.3450,6189.6390,6198.1660,6234.0950,253440700,4570626048.0000,-0.576300
2017-06-06,sh.000037,6186.4250,6238.4140,6178.9290,6237.5220,6198.1660,281451296,4430999808.0000,0.635000
2017-06-07,sh.000037,6238.2050,6333.2950,6231.6820,6331.1310,6237.5220,366307408,6708423680.0000,1.500700
2017-06-08,sh.000037,6327.5770,6397.4930,6323.6550,6394.1510,6331.1310,310181696,6396498176.0000,0.995400
2017-06-09,sh.000037,6398.5630,6420.9820,6382.1080,6396.7740,6394.1510,304231296,5868627968.0000,0.041000
2017-06-12,sh.000037,6386.5850,6476.5460,6378.8830,6422.4600,6396.7740,323675296,7132810496.0000,0.401500
2017-06-13,sh.000037,6418.0130,6447.3000,6404.6550,6444.1730,6422.4600,255803900,5558689024.0000,0.338100
2017-06-14,sh.000037,6436.2950,6439.0310,6362.4820,6380.5110,6444.1730,245345800,5631410432.0000,-0.987900
2017-06-15,sh.000037,6368.7570,6392.6560,6316.1810,6382.7810,6380.5110,248543500,5280293632.0000,0.035600
2017-06-16,sh.000037,6372.9470,6384.0780,6346.1840,6370.0480,6382.7810,187515800,4343786496.0000,-0.199500
2017-06-19,sh.000037,6367.2690,6396.8530,6359.3290,6395.7430,6370.0480,227009300,4813597184.0000,0.403400
2017-06-20,sh.000037,6396.7080,6402.6890,6339.7380,6343.9740,6395.7430,239618900,5203712768.0000,-0.809400
2017-06-21,sh.000037,6363.9490,6439.7520,6338.4800,6438.5070,6343.9740,266619900,6555571968.0000,1.490100
2017-06-22,sh.000037,6433.1070,6459.9300,6352.6830,6362.2440,6438.5070,379068304,8888319744.0000,-1.184500
2017-06-23,sh.000037,6345.2320,6411.8790,6329.1130,6411.0950,6362.2440,334829504,7613372160.0000,0.767800
2017-06-26,sh.000037,6417.7650,6505.2580,6415.2670,6501.8070,6411.0950,357591600,8449588992.0000,1.414900
2017-06-27,sh.000037,6498.0160,6524.9780,6488.1570,6520.3040,6501.8070,289428304,6413054208.0000,0.284500
2017-06-28,sh.000037,6509.2580,6515.6110,6458.8480,6468.4920,6520.3040,281424096,6069594880.0000,-0.794600
2017-06-29,sh.000037,6464.7670,6502.6040,6464.1510,6501.2040,6468.4930,244018100,5516562176.0000,0.505700
2017-06-30,sh.000037,6486.9990,6537.7370,6469.8540,6536.7840,6501.2050,257352100,5843292672.0000,0.547300
